Species Name,Common Name
Asystasia coromandalina variegata,Glossy Abelia
Asystasia coromandalina variegata,Mosaic Abelia
Asystasia species variegata,Asystasia Mosiac Variegated
Banisteria laevifolia,Bansteria Laevifoilia
Basella alba,Indian Spinach
Basella alba,Malabar Spinach
Bauhinia bidentata,Bauhinia Orange
Bauhinia coccinea,Bauhinea Vine
Bauhinia vahlii,Bauhinia Vahlii
Bauhinia vahlii,Bauhinia Creeping
Beaumontia grandiflora,Nepal Trumpet Creeper
Beaumontia grandiflora,Heralds-trumpet
Beaumontia grandiflora variegata,Variegated Beaumontia
"Bignonia gracilis, Macafadyena unguis - cati, Doxantha unguis - cati",Cats Claw Climber
"Bignonia purpurea, Bignonia magnifica, Arrabidaea magnifica",Bignonia Magnifica
Bougainvillea buttiana plena var cherry blossom,Bougainvillea Light Pink Double
Bougainvillea buttiana plena var mahara crimson,Bougainvillea Red Double
Bougainvillea buttiana plena var pink supreme,Bougainvillea Dark Pink Double
Bougainvillea buttiana plena var rosevelts delight,Bougainvillea Orange Double
Bougainvillea formosa,Bougainvillea Lilac
Bougainvillea glabra,Bougainvillea Deep Purple Compact
Bougainvillea glabra,Peper Flower
Bougainvillea glabra lilac queen,Bougainvillea Glabra Lilac Queen
Bougainvillea glabra mauve queen,Bougainvillea Glabra Mauve
Bougainvillea glabra mauve queen variegata,Bougainvillea Glabra Mauve Variegata
Bougainvillea glabra pink queen,Bougainvillea Glabra Pink
Bougainvillea glabra pink queen arborescens,Bougainvillea Glabra Pink Arborea
Bougainvillea glabra pink queen variegata,Bougainvillea Glabra Pink Variegata
Bougainvillea glabra sanderi,Bougainvillea Glabra Arborea
Bougainvillea glabra trinadad,Bougainvillea Light Purple Compact
Bougainvillea glabra trinadad arborescens,Bougainvillea Glabra Trinadad Arborea
Bougainvillea glabra trinadad variegata,Bougainvillea Dark Pink Variegata
Bougainvillea glabra variegata,Bougainvillea Pink Variegata
Bougainvillea spectabilis alba variegata,Variegated White Bougainvillea
Bougainvillea spectabilis chitra,Bougainvillea Red With Pink Splashes
"Bougainvillea spectabilis h. c. buck, B. spectabillis partha",Bougainvillea H. C. Buck
"Bougainvillea spectabilis h. c. buck, B. spectabillis partha",Partha
Bougainvillea spectabilis highway red n pink,Bougainvillea Highway Red N Pink
